Адрес,Район,Количество комнат,Площадь м2,Этаж,Балкон,Высота потолков м,Санузел,Окна,Ремонт,Вид сделки,Тип дома,Количество этажей,Лифт,Год постройки,Дата публикации,Стоимость
"Республика Бурятия, Улан-Удэ, ул. Мокрова, 46",Октябрьский район,2,49,4,балкон,2.6,раздельный,"во двор, на улицу",косметический,возможна ипотека,кирпичный,5,NaN,1999,25 марта в 14:25,5690000
"Республика Бурятия, Улан-Удэ, мкр-н 148А, 1/1",Октябрьский район,1,35.8,16,лоджия,NaN,совмещенный,на улицу,косметический,NaN,панельный,16,1,NaN,14 марта в 13:29,2600000
"мкр. 106-й, стр. 2, корп. 1",Октябрьский район,2,47.9,3,"балкон, лоджия",NaN,совмещенный,"во двор, на улицу, на солнечную сторону",косметический,возможна ипотека,монолитно-кирпичный,9,2,NaN,29 марта в 15:17,5532450
"Республика Бурятия, Улан-Удэ, 47-й квартал, Конечная ул., 8",Октябрьский район,1,41,1,балкон,2.7,совмещенный,во двор,евро,возможна ипотека,кирпичный,9,1,2022,22 марта в 20:43,5990000
"Республика Бурятия, Улан-Удэ, ул. Димитрова, 1",Советский район,3,46.4,3,NaN,2.6,совмещенный,"во двор, на солнечную сторону",требует ремонта,возможна ипотека,кирпичный,4,0,1959,19 марта в 10:09,5400000
"Республика Бурятия, Улан-Удэ, Ключевская ул., 45",Октябрьский район,2,44.9,2,балкон,2.5,раздельный,на улицу,требует ремонта,возможна ипотека,кирпичный,5,0,1977,19 марта в 08:30,4900000
"Республика Бурятия, Улан-Удэ, Ключевская ул., 6Д",Октябрьский район,2,53.4,11,балкон,2.7,раздельный,"во двор, на улицу, на солнечную сторону",требует ремонта,возможна ипотека,монолитно-кирпичный,14,1,2018,30 марта в 00:18,6400000
"Республика Бурятия, Улан-Удэ, пр-т Строителей, 60",Октябрьский район,2,47,2,балкон,NaN,раздельный,"во двор, на солнечную сторону",косметический,возможна ипотека,кирпичный,5,0,1985,21 марта в 20:42,6200000
"Республика Бурятия, Улан-Удэ, 110-й мкр-н, 5",Октябрьский район,3,87,2,балкон,NaN,раздельный,на солнечную сторону,косметический,возможна ипотека,монолитный,12,NaN,NaN,19 марта в 09:25,6300000
"Республика Бурятия, Улан-Удэ, ул. Лимонова, 1",Железнодорожный район,3,54.8,1,NaN,2.5,совмещенный,"во двор, на улицу, на солнечную сторону",требует ремонта,NaN,кирпичный,4,0,1962,29 марта в 14:38,4870000
"Республика Бурятия, г.о. Улан-Удэ,Октябрьский район, Горхонская ул., 9",Октябрьский район,2,48,1,лоджия,2.5,раздельный,на улицу,евро,NaN,кирпичный,2,NaN,1987,17 марта в 11:44,3600000
"Республика Бурятия, Улан-Удэ, ул. Жердева, 42",Октябрьский район,1,35.2,4,балкон,2.5,совмещенный,во двор,евро,возможна ипотека,кирпичный,4,NaN,1975,28 марта в 20:46,4400000
"Республика Бурятия, Улан-Удэ, Геологическая ул., 18",Октябрьский район,1,30,1,NaN,NaN,совмещенный,"во двор, на солнечную сторону",дизайнерский,NaN,кирпичный,5,0,1964,23 марта в 06:01,4700000
"Республика Бурятия, Улан-Удэ, мкр-н 148А, 1/2",Октябрьский район,3,77.1,4,балкон,2.8,раздельный,"во двор, на улицу, на солнечную сторону",дизайнерский,NaN,панельный,16,1,NaN,29 марта в 14:31,4692600
"Республика Бурятия, Улан-Удэ, Октябрьская ул., 46",Железнодорожный район,1,30.4,5,NaN,NaN,совмещенный,NaN,косметический,NaN,кирпичный,5,0,1968,14 марта в 15:08,3560000
"Республика Бурятия, Улан-Удэ, 113-й мкр-н, 1",Октябрьский район,2,53,1,лоджия,3 м,раздельный,"на улицу, на солнечную сторону",косметический,NaN,панельный,9,1,NaN,29 марта в 18:23,5250000
"Республика Бурятия, Улан-Удэ, Ключевская ул., 34",Октябрьский район,2,49.5,4,балкон,2.5,раздельный,на улицу,косметический,NaN,панельный,5,0,1981,26 марта в 14:50,5950000
"Республика Бурятия, Улан-Удэ, ул. Смолина, 42",Советский район,3,54,1,NaN,2.5,совмещенный,на солнечную сторону,косметический,возможна ипотека,кирпичный,5,NaN,1964,27 марта в 07:32,5790000
"Республика Бурятия, Улан-Удэ, Солнечная ул., 23",Октябрьский район,3,60,3,балкон,NaN,совмещенный,NaN,евро,возможна ипотека,панельный,5,0,1966,28 марта в 17:26,6550000
"Республика Бурятия, Улан-Удэ, Мостовая ул., 8",Октябрьский район,1,38.6,1,NaN,3.2,раздельный,"на улицу, на солнечную сторону",косметический,NaN,деревянный,2,0,1931,30 марта в 11:23,1498255
"Республика Бурятия, Улан-Удэ, Боевая ул., 7В",Октябрьский район,3,83.2,6,балкон,2.7,раздельный,"на улицу, на солнечную сторону",евро,возможна ипотека,монолитно-кирпичный,18,1,2016,18 марта в 19:04,11500000
"Республика Бурятия, Улан-Удэ, 111-й мкр-н",Октябрьский район,3,68,5,лоджия,270 м,раздельный,NaN,косметический,NaN,панельный,5,NaN,1993,1 апреля в 14:39,7450000
"Республика Бурятия, Улан-Удэ, 105-й мкр-н, 31",Октябрьский район,1,30.4,1,NaN,NaN,совмещенный,на солнечную сторону,евро,NaN,кирпичный,5,0,2014,31 марта в 20:00,5000000
"Республика Бурятия, Улан-Удэ, ул. Жердева, 64",Октябрьский район,1,35,5,балкон,2.6,совмещенный,"во двор, на улицу",косметический,возможна ипотека,панельный,5,0,1976,7 апреля в 11:06,5300000
"Республика Бурятия, Улан-Удэ, пр-т 50 лет Октября, 25А",Железнодорожный район,2,47.4,2,балкон,NaN,раздельный,"на улицу, на солнечную сторону",требует ремонта,NaN,кирпичный,5,0,1988,28 марта в 20:02,5800000
"ул. Бабушкина, стр. 1",Октябрьский район,свободная планировка,26.8,3,балкон,2.5,совмещенный,"на улицу, на солнечную сторону",требует ремонта,возможна ипотека,монолитный,18,1,NaN,2 апреля в 13:29,3590000
"Республика Бурятия, Улан-Удэ, Ключевская ул., 6Д",Октябрьский район,2,53.4,11,балкон,2.7,раздельный,"во двор, на улицу, на солнечную сторону",требует ремонта,возможна ипотека,монолитно-кирпичный,14,1,2018,30 марта в 00:18,6400000
"Республика Бурятия, Улан-Удэ, 115-й мкр-н, 8",Октябрьский район,1,25,3,балкон,NaN,совмещенный,во двор,евро,возможна ипотека,кирпичный,5,0,2017,31 марта в 03:11,3650000
"Республика Бурятия, Улан-Удэ, ул. Жердева, 58",Октябрьский район,1,36,2,балкон,2.7,совмещенный,"во двор, на солнечную сторону",косметический,NaN,панельный,5,0,1976,22 марта в 13:26,4300000
"Республика Бурятия, Улан-Удэ, ул. Сахьяновой, 19",Октябрьский район,2,42.2,3,NaN,2.5,раздельный,на солнечную сторону,косметический,NaN,панельный,5,NaN,1980,21 марта в 12:14,5000000
"Республика Бурятия, Улан-Удэ, ул. Терешковой, 38",Октябрьский район,2,41.1,1,NaN,2.5,совмещенный,"на улицу, на солнечную сторону",евро,возможна ипотека,кирпичный,4,NaN,1962,15 марта в 17:48,4950000
"Республика Бурятия, Улан-Удэ, ул. Бабушкина, 27",Октябрьский район,2,44.8,3,балкон,2.5,совмещенный,на солнечную сторону,требует ремонта,возможна ипотека,панельный,5,0,1968,27 марта в 18:03,5100000
"Республика Бурятия, Улан-Удэ, ул. Павлова, 7",Октябрьский район,2,46.9,3,NaN,2.3,совмещенный,"во двор, на улицу, на солнечную сторону",косметический,NaN,кирпичный,5,0,1964,7 марта в 20:02,4500000
"Республика Бурятия, Улан-Удэ, б-р Карла Маркса, 31",Октябрьский район,2,45,3,балкон,NaN,совмещенный,на солнечную сторону,косметический,NaN,панельный,5,NaN,NaN,27 марта в 02:15,5850000
"Республика Бурятия, Улан-Удэ, ул. Гагарина, 53",Железнодорожный район,1,31.3,2,NaN,NaN,совмещенный,во двор,косметический,NaN,кирпичный,5,0,1964,23 марта в 15:55,4400000
"Республика Бурятия, Улан-Удэ, ул. Лимонова, 6",Железнодорожный район,3,57,4,NaN,2.4,раздельный,"на улицу, на солнечную сторону",дизайнерский,NaN,кирпичный,5,0,NaN,19 марта в 19:59,6500000
"Республика Бурятия, Улан-Удэ, мкр-н Новая Комушка, Яблоневый пер., 19",Октябрьский район,студия,32,1,NaN,NaN,раздельный,во двор,евро,возможна ипотека,кирпичный,3,NaN,2014,17 марта в 12:17,2999000
"Республика Бурятия, Улан-Удэ, Корабельная ул., 47",Советский район,2,44,4,лоджия,NaN,совмещенный,во двор,евро,возможна ипотека,монолитный,16,1,2019,20 марта в 19:43,7720000
"Республика Бурятия, Улан-Удэ, Октябрьская ул., 33",Железнодорожный район,2,53,6,балкон,NaN,совмещенный,NaN,евро,NaN,кирпичный,7,1,NaN,21 марта в 00:13,6900000
"Республика Бурятия, Улан-Удэ, ул. Революции 1905 года, 102",Железнодорожный район,2,50.4,2,балкон,NaN,раздельный,"во двор, на улицу, на солнечную сторону",евро,NaN,панельный,9,1,1991,29 марта в 04:29,6300000
"Республика Бурятия, Улан-Удэ, Тобольская ул., 41",Октябрьский район,2,35.5,1,NaN,NaN,совмещенный,на солнечную сторону,косметический,возможна ипотека,кирпичный,4,NaN,1972,23 марта в 00:15,3700000
"Республика Бурятия, Улан-Удэ, Боевая ул., 9А",Октябрьский район,2,59.2,7,балкон,290 м,совмещенный,на улицу,евро,возможна ипотека,кирпичный,15,1,2013,20 марта в 08:05,8500000
"Республика Бурятия, Улан-Удэ, Краснофлотская ул., 8",Октябрьский район,1,31.7,5,балкон,NaN,совмещенный,"во двор, на солнечную сторону",косметический,возможна ипотека,панельный,5,0,1973,12 марта в 15:14,4049000
"Республика Бурятия, Улан-Удэ, ул. Жердева, 64",Октябрьский район,2,48.3,2,балкон,NaN,совмещенный,"во двор, на улицу",косметический,возможна ипотека,панельный,5,0,1976,27 марта в 19:17,5999999
"Республика Бурятия, Улан-Удэ, ул. Добролюбова, 2А",Железнодорожный район,1,33.5,3,NaN,NaN,совмещенный,во двор,косметический,NaN,кирпичный,5,0,1986,22 марта в 18:46,3950000
"Республика Бурятия, Улан-Удэ, б-р Карла Маркса, 23",Октябрьский район,2,42.8,4,балкон,1 м,совмещенный,во двор,косметический,NaN,кирпичный,5,0,NaN,18 марта в 14:57,4900000
"Республика Бурятия, Улан-Удэ, мкр-н Восточный, ул. Микояна, 1",Железнодорожный район,2,45,1,NaN,NaN,совмещенный,во двор,косметический,возможна ипотека,кирпичный,5,NaN,NaN,15 марта в 18:49,4180000
"Республика Бурятия, Улан-Удэ, ул. Жердева, 46",Октябрьский район,3,59,3,балкон,2.6,раздельный,NaN,евро,NaN,панельный,5,NaN,NaN,28 марта в 18:59,6550000
"Республика Бурятия, Улан-Удэ, ул. Смолина, 38",Советский район,2,56,3,NaN,NaN,совмещенный,во двор,косметический,NaN,кирпичный,5,0,NaN,15 марта в 11:29,5390000
"Республика Бурятия, Улан-Удэ, Октябрьская ул., 10",Железнодорожный район,2,42,1,NaN,NaN,совмещенный,на улицу,косметический,возможна ипотека,кирпичный,5,0,NaN,16 марта в 11:11,4950000
"ул. Трубачеева, д. 146А, блок В",Октябрьский район,2,42,3,балкон,2.7,совмещенный,во двор,косметический,NaN,монолитно-кирпичный,7,0,NaN,22 марта в 13:28,5300000
"Республика Бурятия, Улан-Удэ, Ключевская ул., 57/1",Октябрьский район,1,38.4,2,балкон,2.6,раздельный,"на улицу, на солнечную сторону",евро,возможна ипотека,панельный,9,1,1989,14 марта в 15:38,5450000
"Республика Бурятия, Улан-Удэ, ул. Павлова, 80",Октябрьский район,1,33,2,лоджия,NaN,совмещенный,"на улицу, на солнечную сторону",косметический,NaN,панельный,5,NaN,1995,25 марта в 15:48,4680000
"Республика Бурятия, Улан-Удэ, ул. Антонова, 24",Железнодорожный район,1,33,1,лоджия,NaN,совмещенный,"во двор, на солнечную сторону",требует ремонта,возможна ипотека,панельный,5,0,1991,22 марта в 11:35,3850000
"мкр. 148-А, стр. 1",Октябрьский район,3,78.2,12,балкон,NaN,раздельный,NaN,требует ремонта,NaN,панельный,16,1,NaN,31 марта в 11:05,4692000
"Республика Бурятия, Улан-Удэ, пр-т Строителей, 8",Октябрьский район,1,33.8,4,балкон,NaN,совмещенный,"на улицу, на солнечную сторону",косметический,возможна ипотека,панельный,5,NaN,1984,27 марта в 19:02,4500000
"Республика Бурятия, Улан-Удэ, ул. Жердева, 35",Октябрьский район,3,70,5,"балкон, лоджия",NaN,раздельный,"во двор, на улицу",требует ремонта,возможна ипотека,панельный,7,1,NaN,15 марта в 23:13,6999999
"Республика Бурятия, Улан-Удэ, Геологическая ул., 17",Октябрьский район,1,30.3,5,балкон,2.7,совмещенный,на солнечную сторону,косметический,NaN,кирпичный,5,0,NaN,22 марта в 13:29,4180000
"Республика Бурятия, Улан-Удэ, 115-й мкр-н, 8",Октябрьский район,студия,27.5,4,балкон,2.5,совмещенный,"во двор, на солнечную сторону",евро,возможна ипотека,кирпичный,5,0,2017,сегодня в 14:21,3500000
"Республика Бурятия, Улан-Удэ, Октябрьская ул., 37",Железнодорожный район,2,45.7,2,балкон,NaN,совмещенный,на улицу,требует ремонта,NaN,кирпичный,5,0,1973,13 марта в 21:02,4600000
"Республика Бурятия, Улан-Удэ, ул. Мокрова, 28А",Октябрьский район,2,57.8,6,"балкон, лоджия",2.8,раздельный,"во двор, на улицу, на солнечную сторону",косметический,возможна ипотека,кирпичный,14,1,2009,26 марта в 04:00,8000000
"Республика Бурятия, Улан-Удэ, мкр-н 148А, 2/4",Октябрьский район,1,38.2,13,лоджия,NaN,совмещенный,NaN,косметический,NaN,монолитный,16,1,NaN,14 марта в 12:18,2530000
"Республика Бурятия, Улан-Удэ, 115-й мкр-н, 7",Октябрьский район,1,25.3,3,балкон,2.7,совмещенный,на солнечную сторону,косметический,возможна ипотека,кирпичный,5,0,2018,27 марта в 20:07,3400000
"Республика Бурятия, Улан-Удэ, ул. Мокрова, 46",Октябрьский район,2,49,4,балкон,2.6,раздельный,"во двор, на улицу",косметический,возможна ипотека,кирпичный,5,NaN,1999,25 марта в 14:25,5690000
"Республика Бурятия, Улан-Удэ, мкр-н 148А, 1/1",Октябрьский район,1,35.8,16,лоджия,NaN,совмещенный,на улицу,косметический,NaN,панельный,16,1,NaN,14 марта в 13:29,2600000
"мкр. 106-й, стр. 2, корп. 1",Октябрьский район,2,47.9,3,"балкон, лоджия",NaN,совмещенный,"во двор, на улицу, на солнечную сторону",косметический,возможна ипотека,монолитно-кирпичный,9,2,NaN,29 марта в 15:17,5532450
"Республика Бурятия, Улан-Удэ, 47-й квартал, Конечная ул., 8",Октябрьский район,1,41,1,балкон,2.7,совмещенный,во двор,евро,возможна ипотека,кирпичный,9,1,2022,22 марта в 20:43,5990000
"Республика Бурятия, Улан-Удэ, ул. Димитрова, 1",Советский район,3,46.4,3,NaN,2.6,совмещенный,"во двор, на солнечную сторону",требует ремонта,возможна ипотека,кирпичный,4,0,1959,19 марта в 10:09,5400000
"Республика Бурятия, Улан-Удэ, Ключевская ул., 45",Октябрьский район,2,44.9,2,балкон,2.5,раздельный,на улицу,требует ремонта,возможна ипотека,кирпичный,5,0,1977,19 марта в 08:30,4900000
"Республика Бурятия, Улан-Удэ, Ключевская ул., 6Д",Октябрьский район,2,53.4,11,балкон,2.7,раздельный,"во двор, на улицу, на солнечную сторону",требует ремонта,возможна ипотека,монолитно-кирпичный,14,1,2018,30 марта в 00:18,6400000
"Республика Бурятия, Улан-Удэ, пр-т Строителей, 60",Октябрьский район,2,47,2,балкон,NaN,раздельный,"во двор, на солнечную сторону",косметический,возможна ипотека,кирпичный,5,0,1985,21 марта в 20:42,6200000
"Республика Бурятия, Улан-Удэ, 110-й мкр-н, 5",Октябрьский район,3,87,2,балкон,NaN,раздельный,на солнечную сторону,косметический,возможна ипотека,монолитный,12,NaN,NaN,19 марта в 09:25,6300000
"Республика Бурятия, Улан-Удэ, ул. Лимонова, 1",Железнодорожный район,3,54.8,1,NaN,2.5,совмещенный,"во двор, на улицу, на солнечную сторону",требует ремонта,NaN,кирпичный,4,0,1962,29 марта в 14:38,4870000
"Республика Бурятия, г.о. Улан-Удэ,Октябрьский район, Горхонская ул., 9",Октябрьский район,2,48,1,лоджия,2.5,раздельный,на улицу,евро,NaN,кирпичный,2,NaN,1987,17 марта в 11:44,3600000
"Республика Бурятия, Улан-Удэ, ул. Жердева, 42",Октябрьский район,1,35.2,4,балкон,2.5,совмещенный,во двор,евро,возможна ипотека,кирпичный,4,NaN,1975,28 марта в 20:46,4400000
"Республика Бурятия, Улан-Удэ, Геологическая ул., 18",Октябрьский район,1,30,1,NaN,NaN,совмещенный,"во двор, на солнечную сторону",дизайнерский,NaN,кирпичный,5,0,1964,23 марта в 06:01,4700000
"Республика Бурятия, Улан-Удэ, мкр-н 148А, 1/2",Октябрьский район,3,77.1,4,балкон,2.8,раздельный,"во двор, на улицу, на солнечную сторону",дизайнерский,NaN,панельный,16,1,NaN,29 марта в 14:31,4692600
"Республика Бурятия, Улан-Удэ, Октябрьская ул., 46",Железнодорожный район,1,30.4,5,NaN,NaN,совмещенный,NaN,косметический,NaN,кирпичный,5,0,1968,14 марта в 15:08,3560000
"Республика Бурятия, Улан-Удэ, 113-й мкр-н, 1",Октябрьский район,2,53,1,лоджия,3 м,раздельный,"на улицу, на солнечную сторону",косметический,NaN,панельный,9,1,NaN,29 марта в 18:23,5250000
"Республика Бурятия, Улан-Удэ, Ключевская ул., 34",Октябрьский район,2,49.5,4,балкон,2.5,раздельный,на улицу,косметический,NaN,панельный,5,0,1981,26 марта в 14:50,5950000
"Республика Бурятия, Улан-Удэ, ул. Смолина, 42",Советский район,3,54,1,NaN,2.5,совмещенный,на солнечную сторону,косметический,возможна ипотека,кирпичный,5,NaN,1964,27 марта в 07:32,5790000
"Республика Бурятия, Улан-Удэ, Солнечная ул., 23",Октябрьский район,3,60,3,балкон,NaN,совмещенный,NaN,евро,возможна ипотека,панельный,5,0,1966,28 марта в 17:26,6550000
"Республика Бурятия, Улан-Удэ, Мостовая ул., 8",Октябрьский район,1,38.6,1,NaN,3.2,раздельный,"на улицу, на солнечную сторону",косметический,NaN,деревянный,2,0,1931,30 марта в 11:23,1498255
"Республика Бурятия, Улан-Удэ, Боевая ул., 7В",Октябрьский район,3,83.2,6,балкон,2.7,раздельный,"на улицу, на солнечную сторону",евро,возможна ипотека,монолитно-кирпичный,18,1,2016,18 марта в 19:04,11500000
"Республика Бурятия, Улан-Удэ, ул. Лимонова, 6",Железнодорожный район,2,43.3,1,NaN,NaN,раздельный,"на улицу, на солнечную сторону",косметический,NaN,кирпичный,5,NaN,1972,сегодня в 14:18,5200000
"Республика Бурятия, Улан-Удэ, Солнечная ул., 31",Октябрьский район,3,59.7,3,балкон,260 м,совмещенный,"во двор, на солнечную сторону",евро,NaN,панельный,5,0,1969,20 марта в 08:46,7350000
"Республика Бурятия, Улан-Удэ, ул. Клыпина, 10",Железнодорожный район,2,46.9,1,NaN,NaN,раздельный,NaN,косметический,возможна ипотека,кирпичный,5,NaN,1980,20 марта в 18:59,5100000
"Республика Бурятия, Улан-Удэ, Ключевская ул., 56",Октябрьский район,2,45.3,4,балкон,NaN,совмещенный,на улицу,косметический,возможна ипотека,панельный,5,0,1972,1 апреля в 12:12,5600000
"Республика Бурятия, Улан-Удэ, ул. Жердева, 3А",Октябрьский район,2,46.4,2,балкон,2.8,совмещенный,во двор,требует ремонта,NaN,монолитно-кирпичный,9,1,2024,26 марта в 18:10,5750000
"Республика Бурятия, Улан-Удэ, Партизанская ул., 25",Советский район,1,30.8,2,балкон,NaN,раздельный,на солнечную сторону,косметический,возможна ипотека,кирпичный,5,0,1990,14 марта в 21:59,5300000
"Республика Бурятия, Улан-Удэ, ул. Шумяцкого, 10",Октябрьский район,1,35.5,2,балкон,2.6,совмещенный,во двор,косметический,NaN,кирпичный,5,0,1984,19 марта в 13:25,4600000
"Республика Бурятия, Улан-Удэ, Боевая ул., 12",Октябрьский район,2,46,2,балкон,NaN,совмещенный,"во двор, на улицу, на солнечную сторону",косметический,возможна ипотека,панельный,5,0,NaN,22 марта в 07:45,5600000
"Республика Бурятия, Улан-Удэ, пр-т 50 лет Октября, 21Б",Железнодорожный район,3,108.3,4,балкон,3.4,раздельный,"во двор, на улицу, на солнечную сторону",дизайнерский,NaN,монолитно-кирпичный,5,0,2016,25 марта в 23:11,15555555
"Республика Бурятия, Улан-Удэ, ул. Гагарина, 7",Железнодорожный район,2,47,1,NaN,2.8,совмещенный,"во двор, на улицу, на солнечную сторону",евро,возможна ипотека,деревянный,2,NaN,NaN,21 марта в 10:16,3850000
"Республика Бурятия, Улан-Удэ, 105-й мкр-н, 35",Октябрьский район,2,58,3,лоджия,2.7,раздельный,"во двор, на улицу",евро,возможна ипотека,кирпичный,3,NaN,2015,18 марта в 18:38,6100000
"Республика Бурятия, Улан-Удэ, 115-й мкр-н, 8",Октябрьский район,студия,25,3,балкон,2.6,совмещенный,на улицу,косметический,NaN,панельный,5,0,2017,25 марта в 11:00,3695000
"Республика Бурятия, Улан-Удэ, Ключевская ул., 70А",Октябрьский район,3,74.4,7,лоджия,2.7,раздельный,"во двор, на улицу, на солнечную сторону",косметический,возможна ипотека,кирпичный,12,1,NaN,29 марта в 20:42,7900000
"Республика Бурятия, Улан-Удэ, ул. Жердева, 102",Октябрьский район,1,30,1,NaN,240 м,совмещенный,"во двор, на солнечную сторону",евро,NaN,кирпичный,5,NaN,NaN,23 марта в 12:31,5000000
"Республика Бурятия, Улан-Удэ, Столбовая ул., 50А",Октябрьский район,2,62,5,балкон,2.8,раздельный,"во двор, на улицу",косметический,NaN,монолитно-кирпичный,10,1,2015,20 марта в 13:47,7300000
"Республика Бурятия, Улан-Удэ, ул. Цивилева, 42",Железнодорожный район,2,60,2,лоджия,NaN,раздельный,во двор,евро,возможна ипотека,кирпичный,11,NaN,2014,27 марта в 04:44,8700000
"Республика Бурятия, Улан-Удэ, ул. Шумяцкого, 12А",Октябрьский район,1,33.2,8,балкон,2.7,совмещенный,на солнечную сторону,косметический,NaN,панельный,9,1,2013,30 марта в 14:49,4800000
"Республика Бурятия, Улан-Удэ, ул. Тулаева, 144",Октябрьский район,3,62,5,балкон,3 м,раздельный,NaN,косметический,возможна ипотека,кирпичный,5,0,1982,26 марта в 10:30,5800000
"Республика Бурятия, Улан-Удэ, Столбовая ул., 60",Октябрьский район,3,79,3,балкон,2.5,раздельный,"во двор, на улицу, на солнечную сторону",дизайнерский,возможна ипотека,кирпичный,5,NaN,1997,20 марта в 11:04,10800000
"Республика Бурятия, Улан-Удэ, пр-т Строителей, 5А/1",Октябрьский район,студия,24,6,лоджия,NaN,совмещенный,во двор,требует ремонта,NaN,монолитный,12,1,2023,25 марта в 19:11,3700000
"Республика Бурятия, Улан-Удэ, Ключевская ул., 90Б",Октябрьский район,3,66.7,3,"балкон, лоджия",NaN,раздельный,"во двор, на улицу, на солнечную сторону",дизайнерский,NaN,монолитный,9,1,2015,17 марта в 23:53,12100000
"Республика Бурятия, Улан-Удэ, ул. Павлова, 64А",Октябрьский район,1,43.2,10,лоджия,NaN,совмещенный,NaN,евро,возможна ипотека,монолитный,16,1,2015,18 марта в 21:25,6400000
"Республика Бурятия, Улан-Удэ, ул. Тулаева, 146",Октябрьский район,3,64,5,"балкон, лоджия",NaN,раздельный,"во двор, на улицу",косметический,NaN,панельный,5,NaN,NaN,31 марта в 08:17,5600000
"Республика Бурятия, Улан-Удэ, ул. Жердева, 112",Октябрьский район,1,33.4,3,балкон,NaN,совмещенный,во двор,косметический,возможна ипотека,панельный,5,0,1975,29 марта в 04:30,4790000
"Республика Бурятия, Улан-Удэ, ул. Антонова, 6",Железнодорожный район,2,47.6,2,балкон,NaN,раздельный,NaN,косметический,возможна ипотека,кирпичный,5,0,NaN,27 марта в 05:22,5200000
"мкр. 102, стр. 3",Октябрьский район,1,36,7,балкон,NaN,совмещенный,на улицу,косметический,возможна ипотека,монолитно-кирпичный,9,1,NaN,28 марта в 15:00,3200000
"Республика Бурятия, Улан-Удэ, б-р Карла Маркса, 7А",Октябрьский район,1,31.3,4,NaN,NaN,совмещенный,во двор,евро,NaN,панельный,4,NaN,NaN,30 марта в 16:41,4650000
"Республика Бурятия, Улан-Удэ, Современная ул., 7",Октябрьский район,1,32.3,4,балкон,NaN,раздельный,"во двор, на солнечную сторону",косметический,NaN,кирпичный,9,1,NaN,7 апреля в 09:31,4750000
"Республика Бурятия, Улан-Удэ, 105-й мкр-н, 29",Октябрьский район,1,48,3,"балкон, лоджия",NaN,совмещенный,"во двор, на улицу, на солнечную сторону",дизайнерский,возможна ипотека,монолитно-кирпичный,6,0,2013,20 марта в 13:09,5500000
"Республика Бурятия, Улан-Удэ, Ключевская ул., 90Г",Октябрьский район,2,61.2,4,лоджия,2.7,совмещенный,во двор,дизайнерский,возможна ипотека,монолитно-кирпичный,17,1,2020,26 марта в 16:22,9200000
"Республика Бурятия, Улан-Удэ, мкр-н Восточный, ул. Камова, 19",Железнодорожный район,2,50.3,3,балкон,NaN,раздельный,"во двор, на улицу, на солнечную сторону",косметический,возможна ипотека,кирпичный,5,0,1980,29 марта в 13:00,5300000
"Республика Бурятия, Улан-Удэ, Норильская ул., 6",Железнодорожный район,2,48,5,балкон,NaN,раздельный,во двор,требует ремонта,возможна ипотека,кирпичный,5,NaN,1994,24 марта в 19:03,5350000
"Республика Бурятия, Улан-Удэ, Геологическая ул., 28А",Октябрьский район,2,64.5,9,NaN,250 м,совмещенный,"во двор, на солнечную сторону",дизайнерский,возможна ипотека,кирпичный,9,1,2006,28 марта в 02:21,10500000
"Республика Бурятия, Улан-Удэ, ул. Сахьяновой, 19",Октябрьский район,1,18.3,2,NaN,NaN,совмещенный,NaN,косметический,возможна ипотека,панельный,5,0,NaN,19 марта в 05:19,2850000
"Республика Бурятия, Улан-Удэ, 111-й мкр-н, 34",Октябрьский район,студия,25.4,2,NaN,NaN,совмещенный,"на улицу, на солнечную сторону",косметический,NaN,кирпичный,5,NaN,2017,25 марта в 17:09,3400000
"Республика Бурятия, Улан-Удэ, пр-т Строителей, 62",Октябрьский район,3,64,5,балкон,2.4,раздельный,"во двор, на улицу, на солнечную сторону",дизайнерский,NaN,панельный,5,0,1985,22 марта в 01:14,8000000
"Республика Бурятия, Улан-Удэ, ул. Лимонова, 10",Железнодорожный район,1,33.8,1,балкон,NaN,совмещенный,во двор,косметический,возможна ипотека,кирпичный,5,NaN,NaN,24 марта в 00:10,4450000
"Республика Бурятия, Улан-Удэ, мкр-н Восточный, ул. Туполева, 23А",Железнодорожный район,2,40.5,2,балкон,NaN,совмещенный,на улицу,евро,NaN,монолитно-кирпичный,9,1,2012,26 марта в 15:43,5200000
"Республика Бурятия, Улан-Удэ, пр-т 50 лет Октября, 5",Железнодорожный район,3,74,3,NaN,NaN,совмещенный,"во двор, на улицу",косметический,NaN,монолитный,4,NaN,NaN,26 марта в 23:28,9300000
"Республика Бурятия, Улан-Удэ, пр-т 50 лет Октября, 5",Железнодорожный район,3,74,3,NaN,NaN,совмещенный,"во двор, на улицу",косметический,NaN,монолитный,4,NaN,NaN,26 марта в 23:28,9300000
"Республика Бурятия, Улан-Удэ, Профсоюзная ул., 31",Советский район,2,45.2,1,NaN,NaN,совмещенный,NaN,евро,NaN,панельный,5,0,NaN,20 марта в 18:26,6600000
"Республика Бурятия, Улан-Удэ, Октябрьская ул., 39",Железнодорожный район,3,96.9,1,NaN,NaN,совмещенный,"во двор, на улицу, на солнечную сторону",косметический,NaN,кирпичный,5,NaN,NaN,24 марта в 16:27,7000000
"Республика Бурятия, Улан-Удэ, ул. Гармаева, 15",Октябрьский район,1,32,2,NaN,NaN,совмещенный,"на улицу, на солнечную сторону",требует ремонта,возможна ипотека,кирпичный,5,NaN,1969,28 марта в 18:10,3200000
