Адрес,Район,Количество комнат,Площадь м2,Этаж,Балкон,Высота потолков м,Санузел,Окна,Ремонт,Вид сделки,Тип дома,Количество этажей,Лифт,Год постройки,Дата публикации,Стоимость
"Республика Бурятия, Улан-Удэ, мкр-н 148А, 1/4",Октябрьский район,1,38.2,14,балкон,2.8,совмещенный,на солнечную сторону,NaN,возможна ипотека,панельный,16,1,NaN,18 марта в 19:54,3500000
"Республика Бурятия, Улан-Удэ, Ключевская ул., 57/2",Октябрьский район,1,39,5,балкон,NaN,раздельный,NaN,косметический,NaN,панельный,9,0,NaN,10 марта в 17:17,5100000
"Республика Бурятия, Улан-Удэ, ул. Ербанова, 20",Советский район,1,30.9,5,балкон,NaN,совмещенный,на улицу,косметический,возможна ипотека,кирпичный,5,NaN,1968,14 марта в 18:21,5000000
"Республика Бурятия, Улан-Удэ, Норильская ул., 26",Железнодорожный район,2,54.6,3,лоджия,NaN,совмещенный,"во двор, на улицу",косметический,NaN,кирпичный,4,NaN,2010,21 марта в 15:58,9000000
"мкр. 106-й, стр. 2, корп. 5",Октябрьский район,2,46.8,4,балкон,2.7,совмещенный,NaN,NaN,возможна ипотека,монолитно-кирпичный,9,NaN,NaN,13 марта в 11:16,5452200
"Республика Бурятия, Улан-Удэ, мкр-н Кирзавод, Кирпичная ул., 1",Железнодорожный район,1,30.6,1,NaN,NaN,совмещенный,NaN,косметический,возможна ипотека,кирпичный,5,0,NaN,19 марта в 17:35,3700000
"Республика Бурятия, Улан-Удэ, ул. Смолина, 67к1",Советский район,1,41.4,102,балкон,NaN,совмещенный,NaN,евро,возможна ипотека,монолитно-кирпичный,22,1,NaN,16 марта в 13:11,6600000
"Республика Бурятия, Улан-Удэ, ул. Иванова, 10",Железнодорожный район,2,51.1,1,NaN,NaN,совмещенный,на улицу,евро,возможна ипотека,кирпичный,2,NaN,1936,21 марта в 17:06,4900000
"Республика Бурятия, Улан-Удэ, 102-й мкр-н, ул. Ринчино, 28",Октябрьский район,3,65,2,лоджия,NaN,раздельный,во двор,косметический,возможна ипотека,кирпичный,5,NaN,1995,15 марта в 23:07,6300000
"Республика Бурятия, Улан-Удэ, ул. Хоца Намсараева, 6",Железнодорожный район,3,58.5,3,балкон,NaN,совмещенный,"во двор, на улицу, на солнечную сторону",косметический,NaN,кирпичный,5,0,NaN,12 марта в 18:50,7500000
"Республика Бурятия, Улан-Удэ, мкр-н Загорск, Краснодонская ул., 23",Железнодорожный район,3,57.7,1,NaN,2.6,совмещенный,"во двор, на улицу",косметический,возможна ипотека,кирпичный,5,NaN,1970,21 марта в 17:17,6750000
"кв-л 115, стр. 17",Октябрьский район,студия,28.9,5,балкон,2.7,совмещенный,на солнечную сторону,NaN,возможна ипотека,кирпичный,5,0,NaN,15 марта в 17:31,3100000
"Республика Бурятия, Улан-Удэ, 47-й квартал, Конечная ул., 4",Октябрьский район,студия,29.9,1,балкон,NaN,совмещенный,на улицу,косметический,возможна ипотека,монолитно-кирпичный,9,NaN,2018,19 марта в 18:38,5070000
"Республика Бурятия, Улан-Удэ, Кабанская ул., 16",Советский район,1,34,2,балкон,NaN,совмещенный,NaN,косметический,NaN,кирпичный,5,0,1989,16 марта в 18:47,4600000
"мкр. 102, стр. 1",Октябрьский район,1,27.5,5,лоджия,2.9,совмещенный,"во двор, на солнечную сторону",NaN,возможна ипотека,монолитно-кирпичный,9,1,NaN,11 марта в 16:49,3140000
