Адрес,Широта,Долгота
"Республика Бурятия, Улан-Удэ, Октябрьская ул., 33",51.8434544,107.62966696528744
"Республика Бурятия, Улан-Удэ, ул. Революции 1905 года, 102",51.8504775,107.56981730259707
"Республика Бурятия, Улан-Удэ, Тобольская ул., 41",51.8162559,107.6586679134798
"Республика Бурятия, Улан-Удэ, Боевая ул., 9А",51.80788015,107.62739069244557
"Республика Бурятия, Улан-Удэ, Краснофлотская ул., 8",51.81350449999999,107.66788780584956
"Республика Бурятия, Улан-Удэ, ул. Жердева, 64",51.80541195,107.65573280626333
"Республика Бурятия, Улан-Удэ, ул. Добролюбова, 2А",51.84797125,107.59154427227637
"Республика Бурятия, Улан-Удэ, б-р Карла Маркса, 23",,
"Республика Бурятия, Улан-Удэ, мкр-н Восточный, ул. Микояна, 1",,
"Республика Бурятия, Улан-Удэ, ул. Жердева, 46",51.808312099999995,107.65727810000001
"Республика Бурятия, Улан-Удэ, ул. Смолина, 38",51.83212455,107.58121926782013
"Республика Бурятия, Улан-Удэ, Октябрьская ул., 10",51.846372200000005,107.61213583906229
"ул. Трубачеева, д. 146А, блок В",,
"Республика Бурятия, Улан-Удэ, Ключевская ул., 57/1",51.8217809,107.6413895
"Республика Бурятия, Улан-Удэ, ул. Павлова, 80",51.8042021,107.62609677190304
"Республика Бурятия, Улан-Удэ, ул. Антонова, 24",,
"мкр. 148-А, стр. 1",,
"Республика Бурятия, Улан-Удэ, пр-т Строителей, 8",,
"Республика Бурятия, Улан-Удэ, ул. Жердева, 35",51.81838775,107.6366298375
"Республика Бурятия, Улан-Удэ, Геологическая ул., 17",51.8115213,107.60564945
"Республика Бурятия, Улан-Удэ, 115-й мкр-н, 8",,
"Республика Бурятия, Улан-Удэ, Октябрьская ул., 37",51.8435609,107.63043164999999
"Республика Бурятия, Улан-Удэ, ул. Мокрова, 28А",51.804455000000004,107.65202450473791
"Республика Бурятия, Улан-Удэ, мкр-н 148А, 2/4",,
"Республика Бурятия, Улан-Удэ, 115-й мкр-н, 7",,
"Республика Бурятия, Улан-Удэ, ул. Мокрова, 46",51.8053037,107.6427817
"Республика Бурятия, Улан-Удэ, мкр-н 148А, 1/1",,
"мкр. 106-й, стр. 2, корп. 1",,
"Республика Бурятия, Улан-Удэ, 47-й квартал, Конечная ул., 8",51.808116299999995,107.63840458580873
"Республика Бурятия, Улан-Удэ, ул. Димитрова, 1",,
"Республика Бурятия, Улан-Удэ, Ключевская ул., 45",51.8226209,107.64061271719748
"Республика Бурятия, Улан-Удэ, Ключевская ул., 6Д",51.8217073,107.6501503
"Республика Бурятия, Улан-Удэ, пр-т Строителей, 60",,
"Республика Бурятия, Улан-Удэ, 110-й мкр-н, 5",,
"Республика Бурятия, Улан-Удэ, ул. Лимонова, 1",51.8447446,107.6114624990231
"Республика Бурятия, г.о. Улан-Удэ,Октябрьский район, Горхонская ул., 9",,
"Республика Бурятия, Улан-Удэ, ул. Жердева, 42",51.81001655,107.65760996281173
"Республика Бурятия, Улан-Удэ, Геологическая ул., 18",51.810546200000005,107.60121635
"Республика Бурятия, Улан-Удэ, мкр-н 148А, 1/2",,
"Республика Бурятия, Улан-Удэ, Октябрьская ул., 46",51.8426657,107.62884595
"Республика Бурятия, Улан-Удэ, 113-й мкр-н, 1",,
"Республика Бурятия, Улан-Удэ, Ключевская ул., 34",51.819451,107.63517212495711
"Республика Бурятия, Улан-Удэ, ул. Смолина, 42",51.83512175,107.57785455
"Республика Бурятия, Улан-Удэ, Солнечная ул., 23",51.81142035,107.6149629
"Республика Бурятия, Улан-Удэ, Мостовая ул., 8",51.81809715,107.58811754999999
"Республика Бурятия, Улан-Удэ, Боевая ул., 7В",51.806038900000004,107.63803305218937
"Республика Бурятия, Улан-Удэ, 111-й мкр-н",,
"Республика Бурятия, Улан-Удэ, 105-й мкр-н, 31",,
"Республика Бурятия, Улан-Удэ, ул. Жердева, 64",51.80541195,107.65573280626333
"Республика Бурятия, Улан-Удэ, пр-т 50 лет Октября, 25А",,
"ул. Бабушкина, стр. 1",59.8756064,30.4448925
"Республика Бурятия, Улан-Удэ, Ключевская ул., 6Д",51.8217073,107.6501503
"Республика Бурятия, Улан-Удэ, 115-й мкр-н, 8",,
"Республика Бурятия, Улан-Удэ, ул. Жердева, 58",51.8063185,107.65503724681484
"Республика Бурятия, Улан-Удэ, ул. Сахьяновой, 19",51.8053904,107.6237297
"Республика Бурятия, Улан-Удэ, ул. Терешковой, 38",51.8100943,107.61448990040572
"Республика Бурятия, Улан-Удэ, ул. Бабушкина, 27",51.80439085,107.60413932318343
"Республика Бурятия, Улан-Удэ, ул. Павлова, 7",51.80765555,107.6128874
"Республика Бурятия, Улан-Удэ, б-р Карла Маркса, 31",,
"Республика Бурятия, Улан-Удэ, ул. Гагарина, 53",51.8459117,107.58222964999999
"Республика Бурятия, Улан-Удэ, ул. Лимонова, 6",51.8425268,107.61685944999999
"Республика Бурятия, Улан-Удэ, мкр-н Новая Комушка, Яблоневый пер., 19",,
"Республика Бурятия, Улан-Удэ, Корабельная ул., 47",51.83256215,107.57801470175474
"Республика Бурятия, Улан-Удэ, Октябрьская ул., 33",51.8434544,107.62966696528744
"Республика Бурятия, Улан-Удэ, ул. Революции 1905 года, 102",51.8504775,107.56981730259707
"Республика Бурятия, Улан-Удэ, Тобольская ул., 41",51.816058600000005,107.65810883334458
"Республика Бурятия, Улан-Удэ, Боевая ул., 9А",51.80788015,107.62739069244557
"Республика Бурятия, Улан-Удэ, Краснофлотская ул., 8",51.81350449999999,107.66788780584956
"Республика Бурятия, Улан-Удэ, ул. Жердева, 64",51.80541195,107.65573280626333
"Республика Бурятия, Улан-Удэ, ул. Добролюбова, 2А",51.84797125,107.59154427227637
"Республика Бурятия, Улан-Удэ, б-р Карла Маркса, 23",,
"Республика Бурятия, Улан-Удэ, мкр-н Восточный, ул. Микояна, 1",,
"Республика Бурятия, Улан-Удэ, ул. Жердева, 46",51.808312099999995,107.65727810000001
"Республика Бурятия, Улан-Удэ, ул. Смолина, 38",51.83212455,107.58121926782013
"Республика Бурятия, Улан-Удэ, Октябрьская ул., 10",51.846372200000005,107.61213583906229
"ул. Трубачеева, д. 146А, блок В",,
"Республика Бурятия, Улан-Удэ, Ключевская ул., 57/1",51.8217073,107.6501503
"Республика Бурятия, Улан-Удэ, ул. Павлова, 80",51.8042021,107.62609677190304
"Республика Бурятия, Улан-Удэ, ул. Антонова, 24",,
"мкр. 148-А, стр. 1",,
"Республика Бурятия, Улан-Удэ, пр-т Строителей, 8",,
"Республика Бурятия, Улан-Удэ, ул. Жердева, 35",51.81838775,107.6366298375
"Республика Бурятия, Улан-Удэ, Геологическая ул., 17",51.8115213,107.60564945
"Республика Бурятия, Улан-Удэ, 115-й мкр-н, 8",,
"Республика Бурятия, Улан-Удэ, Октябрьская ул., 37",51.8435609,107.63043164999999
"Республика Бурятия, Улан-Удэ, ул. Мокрова, 28А",51.804455000000004,107.65202450473791
"Республика Бурятия, Улан-Удэ, мкр-н 148А, 2/4",,
"Республика Бурятия, Улан-Удэ, 115-й мкр-н, 7",,
"Республика Бурятия, Улан-Удэ, ул. Мокрова, 46",51.8053037,107.6427817
"Республика Бурятия, Улан-Удэ, мкр-н 148А, 1/1",,
"мкр. 106-й, стр. 2, корп. 1",,
"Республика Бурятия, Улан-Удэ, 47-й квартал, Конечная ул., 8",51.808116299999995,107.63840458580873
"Республика Бурятия, Улан-Удэ, ул. Димитрова, 1",,
"Республика Бурятия, Улан-Удэ, Ключевская ул., 45",51.8226209,107.64061271719748
"Республика Бурятия, Улан-Удэ, Ключевская ул., 6Д",51.8217073,107.6501503
"Республика Бурятия, Улан-Удэ, пр-т Строителей, 60",,
"Республика Бурятия, Улан-Удэ, 110-й мкр-н, 5",,
"Республика Бурятия, Улан-Удэ, ул. Лимонова, 1",51.8447446,107.6114624990231
"Республика Бурятия, г.о. Улан-Удэ,Октябрьский район, Горхонская ул., 9",,
"Республика Бурятия, Улан-Удэ, ул. Жердева, 42",51.81001655,107.65760996281173
"Республика Бурятия, Улан-Удэ, Геологическая ул., 18",51.810546200000005,107.60121635
"Республика Бурятия, Улан-Удэ, мкр-н 148А, 1/2",,
"Республика Бурятия, Улан-Удэ, Октябрьская ул., 46",51.8426657,107.62884595
"Республика Бурятия, Улан-Удэ, 113-й мкр-н, 1",,
"Республика Бурятия, Улан-Удэ, Ключевская ул., 34",51.819451,107.63517212495711
"Республика Бурятия, Улан-Удэ, ул. Смолина, 42",51.83512175,107.57785455
"Республика Бурятия, Улан-Удэ, Солнечная ул., 23",51.81142035,107.6149629
"Республика Бурятия, Улан-Удэ, Мостовая ул., 8",51.81809715,107.58811754999999
"Республика Бурятия, Улан-Удэ, Боевая ул., 7В",51.806038900000004,107.63803305218937
"Республика Бурятия, Улан-Удэ, ул. Лимонова, 6",51.8425268,107.61685944999999
"Республика Бурятия, Улан-Удэ, Солнечная ул., 31",51.810680399999995,107.6170018
"Республика Бурятия, Улан-Удэ, ул. Клыпина, 10",51.84580484999999,107.58118360638485
"Республика Бурятия, Улан-Удэ, Ключевская ул., 56",51.8190462,107.6471844
"Республика Бурятия, Улан-Удэ, ул. Жердева, 3А",51.8167241,107.63949005
"Республика Бурятия, Улан-Удэ, Партизанская ул., 25",51.8424457,107.5731598
"Республика Бурятия, Улан-Удэ, ул. Шумяцкого, 10",51.811278849999994,107.67199963602101
"Республика Бурятия, Улан-Удэ, Боевая ул., 12",51.80502045,107.6403175
"Республика Бурятия, Улан-Удэ, пр-т 50 лет Октября, 21Б",,
"Республика Бурятия, Улан-Удэ, ул. Гагарина, 7",51.83503545,107.5986722923148
"Республика Бурятия, Улан-Удэ, 105-й мкр-н, 35",,
"Республика Бурятия, Улан-Удэ, 115-й мкр-н, 8",,
"Республика Бурятия, Улан-Удэ, Ключевская ул., 70А",51.8206907,107.65662637063932
"Республика Бурятия, Улан-Удэ, ул. Жердева, 102",51.810546200000005,107.65934888205521
"Республика Бурятия, Улан-Удэ, Столбовая ул., 50А",51.802893,107.6323353
"Республика Бурятия, Улан-Удэ, ул. Цивилева, 42",51.8408717,107.58919596831694
"Республика Бурятия, Улан-Удэ, ул. Шумяцкого, 12А",51.8126464,107.6693963
"Республика Бурятия, Улан-Удэ, ул. Тулаева, 144",51.818225350000006,107.67970880000001
"Республика Бурятия, Улан-Удэ, Столбовая ул., 60",51.80513415,107.6292753571374
"Республика Бурятия, Улан-Удэ, пр-т Строителей, 5А/1",,
"Республика Бурятия, Улан-Удэ, Ключевская ул., 90Б",51.818048450000006,107.6620374
"Республика Бурятия, Улан-Удэ, ул. Павлова, 64А",51.80604255,107.62911790082103
"Республика Бурятия, Улан-Удэ, ул. Тулаева, 146",51.8216173,107.67959539572308
"Республика Бурятия, Улан-Удэ, ул. Жердева, 112",51.80903575,107.66241200322244
"Республика Бурятия, Улан-Удэ, ул. Антонова, 6",,
"мкр. 102, стр. 3",33.998807,45.950236
"Республика Бурятия, Улан-Удэ, б-р Карла Маркса, 7А",,
"Республика Бурятия, Улан-Удэ, Современная ул., 7",51.77561675,107.58322515446146
"Республика Бурятия, Улан-Удэ, 105-й мкр-н, 29",,
"Республика Бурятия, Улан-Удэ, Ключевская ул., 90Г",51.81811625,107.6610291143832
"Республика Бурятия, Улан-Удэ, мкр-н Восточный, ул. Камова, 19",,
"Республика Бурятия, Улан-Удэ, Норильская ул., 6",51.84912765,107.63001550347214
"Республика Бурятия, Улан-Удэ, Геологическая ул., 28А",51.8109458,107.6053335
"Республика Бурятия, Улан-Удэ, ул. Сахьяновой, 19",51.8053904,107.6237297
"Республика Бурятия, Улан-Удэ, 111-й мкр-н, 34",,
"Республика Бурятия, Улан-Удэ, пр-т Строителей, 62",,
